sample,p.val,effect
8,0.6467622521189748,0.023956550515404372
9,0.664078596684568,0.02244937110669359
10,0.5370107244804927,0.02946572818279548
11,0.6401067270772309,0.021090871277211237
12,0.6243191448961842,0.020641287687604194
13,0.7142979440620267,0.014962941062375746
14,0.7878703952980571,0.01036600055579378
15,0.7052323182865526,0.013724233040621526
16,0.7575024225170373,0.010822900366103696
17,0.8351181798115841,0.007125767351645665
18,0.818998131078315,0.00745884677326028
19,0.5317748641023299,0.02044633256636546
20,0.39276307103193375,0.02726560782758742
21,0.41979771230163265,0.025243074167847903
22,0.35428068479758,0.028851680045988648
23,0.2532461001354,0.03470277077846516
24,0.2852042136470587,0.031424817669118386
25,0.2506318560438261,0.03250036672009005
26,0.30061595880052544,0.028820287180247796
27,0.3254411771916309,0.026168486553835642
28,0.3797064395399684,0.022739126312648492
29,0.20218178958659525,0.03245602940686813
30,0.16383455986435452,0.03434017646526188
31,0.24343634851208548,0.028443160480828393
32,0.22899481418008,0.029287059867600558
33,0.17255465789447674,0.03252490575690093
34,0.12321259446605777,0.03631240251169627
35,0.12617932161466358,0.0353162361759795
36,0.13393237695122528,0.03361581445438372
37,0.08156410680133029,0.03938628343434598
38,0.12331564542088116,0.03451936162193278
39,0.1342037655276893,0.032474446817206036
40,0.12076916549463544,0.03297558860340075
41,0.1890746387048029,0.028143833741212362
42,0.12638607896482737,0.03230743965663635
43,0.13275847234263113,0.0313975075866228
44,0.10690997749083476,0.0334068694422061
45,0.08363453847294144,0.03528599368229485
46,0.07602316645730105,0.035625700033840815
47,0.09913245601539505,0.0322875216805379
48,0.08451991161727589,0.03311501668387718
49,0.08081721482811881,0.0335697828633416
50,0.05301990924566627,0.036834747003711005
51,0.04962205666076688,0.03709278353455407
52,0.05852353045676526,0.03514330170079057
53,0.05572217753626581,0.035525509707658574
54,0.04824258100702023,0.036146643686783914
55,0.06670433146522535,0.03333298340861477
56,0.09085025746454167,0.030340819797496636
57,0.16460932403784165,0.02495053438401882
58,0.10483742147095945,0.028731731188564733
59,0.11067395263385618,0.02799570383411537
60,0.09383258070566847,0.02904459758694872
61,0.1258984091683762,0.026536518209227353
62,0.13250701153129535,0.02585609312675806
63,0.10794630953107524,0.02728940081252839
64,0.09677429874237393,0.028000391531805262
65,0.06466497661000535,0.030765681164157274
66,0.08349184161758279,0.02849743618356068
