SubjectID,ItemID,logTrial,Duration,Condition,logRT
12,8c,1.6094379124341003,870.266876,SS,6.351224228348638
12,14c,2.302585092994046,787.1098294,SS,6.190436300184477
12,17c,2.772588722239781,604.570207,SS,6.108978657718377
12,39c,2.9444389791664403,660.7690465,DS,5.919283563272965
12,24c,3.1780538303479458,903.5293517,DS,5.567852016096739
12,34c,3.258096538021482,959.4527589,DS,5.608790244300593
12,31c,3.367295829986474,668.1356374,DS,5.900321920975246
12,23c,3.4657359027997265,784.1269841,DS,5.9050702524111776
12,11c,3.5553480614894135,720.112523,SS,5.6907647775748975
12,32c,3.713572066704308,854.8700506,DS,5.413434629966598
12,36c,3.8066624897703196,724.3123373,DS,5.619668713701291
12,26c,3.8501476017100584,807.2335601,DS,5.494237706004807
12,33c,3.9889840465642745,720.4006047,DS,5.704885199764655
12,29c,4.143134726391533,790.8341923,DS,5.194683137777002
12,12c,4.204692619390966,691.3405362,SS,5.808607847150463
12,9c,4.248495242049359,693.041421,SS,5.454021125437699
12,30c,4.30406509320417,518.085088,DS,5.659844519457689
12,22c,4.343805421853684,589.8841073,DS,5.7005739996674185
12,1c,4.3694478524670215,773.1769584,SS,5.513815768036548
12,10c,4.418840607796598,725.9501134,SS,5.318306251007078
12,40c,4.5217885770490405,753.5880192,DS,6.1870498337702475
12,5c,4.553876891600541,791.3650794,SS,5.408878833779176
12,37c,4.574710978503383,546.5464853,DS,5.833210041427954
12,18c,4.605170185988092,783.9523412,SS,5.350254953334656
12,3c,4.634728988229636,800.6928247,SS,4.5385281206185315
12,21c,4.663439094112067,797.3815193,DS,4.826351813988761
12,15c,4.709530201312334,811.3429398,SS,4.9370892153329224
12,16c,4.727387818712341,563.672954,SS,5.94804804392572
12,19c,4.770684624465665,715.034244,SS,4.875510251333273
12,4c,4.787491742782046,559.4009826,SS,5.472728552022459
12,13c,4.890349128221754,674.4879819,SS,4.697539682582385
12,25c,4.90527477843843,674.0343915,DS,4.499876334774808
12,27c,4.9344739331306915,696.4517625,DS,5.505051008783424
12,28c,4.969813299576001,704.6816675,DS,5.388327160456075
12,2c,5.003946305945459,767.5021804,SS,5.151967018211845
12,6c,5.0369526024136295,623.0544218,SS,5.197773012321276
12,35c,5.075173815233827,822.5383743,DS,5.066965216683938
12,20c,5.087596335232384,753.5056022,SS,5.192412258182073
12,7c,5.10594547390058,605.4391534,SS,5.5981552567698305
16,8c,1.6094379124341003,870.266876,SS,6.578410581001062
16,14c,2.302585092994046,787.1098294,SS,5.788390131691027
16,17c,2.772588722239781,604.570207,SS,6.28310564725713
16,39c,2.9444389791664403,660.7690465,DS,6.081622842352234
16,24c,3.1780538303479458,903.5293517,DS,5.896727952772056
16,34c,3.258096538021482,959.4527589,DS,4.8735700457045414
16,31c,3.367295829986474,668.1356374,DS,6.2133292810837455
16,23c,3.4657359027997265,784.1269841,DS,5.229117330746898
16,11c,3.5553480614894135,720.112523,SS,5.512492824455896
16,32c,3.713572066704308,854.8700506,DS,4.927862195629322
16,36c,3.8066624897703196,724.3123373,DS,5.446297619817224
16,26c,3.8501476017100584,807.2335601,DS,5.313934777443113
16,33c,3.9889840465642745,720.4006047,DS,5.472115199401102
16,29c,4.143134726391533,790.8341923,DS,5.53690897974633
16,12c,4.204692619390966,691.3405362,SS,5.981399059624544
16,9c,4.248495242049359,693.041421,SS,5.584507075979872
16,30c,4.30406509320417,518.085088,DS,5.86456255990686
16,22c,4.343805421853684,589.8841073,DS,5.586578021588626
16,1c,4.3694478524670215,773.1769584,SS,5.51488735929081
16,10c,4.418840607796598,725.9501134,SS,5.82745627379398
16,40c,4.5217885770490405,753.5880192,DS,6.318312042723043
16,5c,4.553876891600541,791.3650794,SS,5.925760013108219
16,37c,4.574710978503383,546.5464853,DS,6.522283956368848
16,18c,4.605170185988092,783.9523412,SS,5.85298091234939
16,3c,4.634728988229636,800.6928247,SS,5.7611610494441345
16,21c,4.663439094112067,797.3815193,DS,6.419719645960804
16,15c,4.709530201312334,811.3429398,SS,5.451171491926006
16,16c,4.727387818712341,563.672954,SS,6.162299551998553
16,19c,4.770684624465665,715.034244,SS,5.952302632226049
16,4c,4.787491742782046,559.4009826,SS,5.640114685432656
16,13c,4.890349128221754,674.4879819,SS,5.571381871020184
16,25c,4.90527477843843,674.0343915,DS,5.901455043862401
16,27c,4.9344739331306915,696.4517625,DS,5.873483054260273
16,28c,4.969813299576001,704.6816675,DS,5.3170213513418085
16,2c,5.003946305945459,767.5021804,SS,4.767442084976342
16,6c,5.0369526024136295,623.0544218,SS,5.865946674578212
16,35c,5.075173815233827,822.5383743,DS,5.577750509941406
16,20c,5.087596335232384,753.5056022,SS,4.533888983983128
