SampleNum,p.val,effect,n
1,0.21962764708791827,0.051373475617870444,12
2,0.7119191488187158,0.016307054653818997,12
3,0.16730842335157925,0.06367463819514703,12
4,0.9249345190849478,-0.0032976115113792443,12
5,0.6970642049881519,-0.01592118889874991,12
6,0.3089703095352762,-0.03829914224560354,12
7,0.8986742210044254,0.005003656195985234,12
8,0.4049400441049138,0.038879346388985096,12
9,0.2757794130492999,0.04649334721599228,12
10,0.2872118757734283,-0.04547116678402657,12
11,0.24774160597671427,0.04851433514130037,12
12,0.6780333075284916,0.01688919488251221,12
13,0.3849956006034194,0.04155966428098182,12
14,0.7971427548411624,0.01217299389190539,12
15,0.5046356001414021,0.03157810073215521,12
16,0.6737748707074005,0.021984520061330146,12
17,0.5571630598923332,0.027978259778134937,12
18,0.48800603949885313,0.02720269341172998,12
19,0.36128887954849953,0.041835949706477214,12
20,0.5755759209093599,-0.027822981034964327,12
21,0.33173908514925043,0.04219522560303072,12
22,0.7788474534500015,-0.010993833846666978,12
23,0.43023253241586923,0.03458152439303726,12
24,0.2834742836863197,0.04008516490879965,12
25,0.6627134809410182,0.01759240356228701,12
26,0.2595972639934723,0.05868724833068499,12
27,0.8270684103316952,0.008719284787459152,12
28,0.40971374168274344,0.03324244627790101,12
29,0.7181649041836573,-0.017491277995638932,12
30,0.5727654193225284,-0.027291560118688846,12
31,0.9766943994628503,-0.0012804670986962944,12
32,0.347757253818906,-0.03389956984392429,12
33,0.2104379597761155,0.050554201498716846,12
34,0.9508283827338568,0.002531871158542477,12
35,0.7250983628758603,0.014398995502368523,12
36,0.15430198697671144,0.059480764012195916,12
37,0.8285084823736841,0.007426870887798512,12
38,0.5637982225573969,-0.027739507914868716,12
39,0.24143953978073815,0.05689392208438955,12
40,0.7257851940796298,-0.013803467512218314,12
41,0.9198056625462958,0.004459963408512853,12
42,0.22002144570335166,0.05027643212288325,12
43,0.3277963728775092,0.04184941021771525,12
44,0.22506485687837532,-0.049192242126606854,12
45,0.5746059673929043,0.024138986776987205,12
46,0.9565547177157103,0.002097186106998243,12
47,0.6341218935465702,0.02388988629619395,12
48,0.14684343940785227,0.06356833747037842,12
49,0.03461921805207681,0.07822624478522644,12
50,0.8749552933574184,-0.007260079937262184,12
51,0.6423422233466081,0.021973204690559394,12
52,0.03538993286650212,0.0929703093437911,12
53,0.6012188714970635,0.02373381321131551,12
54,0.23120508061954612,0.04627474596081312,12
55,0.992169637263274,-3.946863992536756e-4,12
56,0.2729600736298473,0.051637192910546026,12
57,0.20399064020677987,0.05559902695614633,12
58,0.2332826165621402,0.04969719245661648,12
59,0.3486351534403743,0.046592037142803494,12
60,0.9434764569283516,-0.00279229241029962,12
61,0.8568841623192855,-0.007178447290317723,12
62,0.14119979563610713,0.0520967134121423,12
63,0.1408592614562508,0.07036531171011338,12
64,0.3205079394457187,0.043985304513264004,12
65,0.5256761060711914,0.027019227155202528,12
66,0.7331237151911585,-0.012290443040386794,12
67,0.09236652757317801,0.07243802908482289,12
68,0.15941657402428747,0.058369803807489636,12
69,0.7949688917132827,-0.011525823044475438,12
70,0.34358222873121,0.0399060995936206,12
71,0.6125902045883153,0.020929134629446556,12
72,0.3523495624005898,0.03628747461724962,12
73,0.48504883720173464,0.03093367705632436,12
74,0.9124820563214143,0.00479059380167986,12
75,0.9879111825104443,4.933362689120822e-4,12
76,0.10736150861263702,0.06427491782400344,12
77,0.17252279814791732,0.06341500861503915,12
78,0.2588619008405671,0.04770617721346495,12
79,0.6517029794421225,0.019196436097922903,12
80,0.9685525740143248,-0.0016395017882932788,12
81,0.6142648033113166,0.020153955284229662,12
82,0.981856958311558,-9.93478061947701e-4,12
83,0.4529615893194774,0.027506060208606326,12
84,0.02101398011444763,0.11485158856648402,12
85,0.0671915074982376,0.07829119974328247,12
86,0.7345525049897341,0.012848737219805452,12
87,0.9506687473728332,0.0025072738095110844,12
88,0.16036674993366679,0.05138999863907774,12
89,0.8797092763750111,0.006476607755727047,12
90,0.6744276854321716,-0.01892064336924478,12
91,0.27805728765546106,0.056930928774692705,12
92,0.1377335317423552,0.05944572974303625,12
93,0.9426487220576958,-0.0036356344886037673,12
94,0.4385100153067599,0.03288404365794881,12
95,0.6643406220615804,0.01983838125071883,12
96,0.3808700127263336,-0.039608673073572215,12
97,0.5883569440399303,-0.020275541435271348,12
98,0.2014390748327443,0.057238059375989685,12
99,0.35827363613202434,0.03700011847783618,12
100,0.8980937017986057,0.006161420811133376,12
101,0.1803027325776585,0.050591271388163016,12
102,0.7389155918289401,-0.01387459164106073,12
103,0.8098687372339399,0.010091355168523688,12
104,0.2304952484670346,0.050573448767252144,12
105,0.8570280169656268,-0.006756495396870832,12
106,0.06544324718188742,0.06573745316063305,12
107,0.02619356372418652,0.08927698013645771,12
108,0.5827304482007851,0.026338345918936294,12
109,0.6169380625946697,-0.018992713688130117,12
110,0.10383064212592295,0.06902713631925074,12
111,0.7013514301991388,-0.016301313785515296,12
112,0.2830231338018295,0.050653198477554895,12
113,0.3758390255287114,0.039137561015882984,12
114,0.9791031719495229,-9.631862360669638e-4,12
115,0.6025909959133248,0.021466057736442796,12
116,0.8935071488643976,-0.006220529752833123,12
117,0.8172712961831381,-0.00934555365010574,12
118,0.07164895968629181,0.07478985146810561,12
119,0.9018774721838769,0.005264872507116385,12
120,0.06846694772907072,0.08029657993723603,12
121,0.08970027167460934,0.07150879869970665,12
122,0.20871978486506843,0.0584960842411762,12
123,0.1659036513747365,0.056069619916402774,12
124,0.2729865677796195,0.04466967782111485,12
125,0.707082581573655,0.015403172320961044,12
126,0.060133556435148804,0.08282864693136252,12
127,0.3989751682591296,-0.036624603899761486,12
128,0.8242116873314654,0.008482713731584478,12
129,0.8800822183495569,-0.006173826164429648,12
130,0.723714772743485,0.016568434907115116,12
131,0.06202596509662766,0.08930333260803745,12
132,0.9435614262725711,0.0029076373360175014,12
133,0.21204038623651167,-0.04514621097998499,12
134,0.9006051033066942,0.005454534218689423,12
135,0.6950466567940911,0.015821563233903914,12
