SampleNum,p.val,effect
1,0.2894427978807899,0.0533438155470055
2,0.44532694796865824,0.04531711909096557
3,0.6556505115111565,0.027101377097896763
4,0.5526318170166511,0.028277480792259103
5,0.6446101466359243,0.024045054970621774
6,0.2643516751938948,0.05756002212154985
7,0.2811896242740179,0.05055278086198259
8,0.8155325061542426,-0.013560945038404005
9,0.36676810093882795,0.04584944781689186
10,0.6011260742783153,0.031060279993317987
11,0.40580999168805487,-0.06130869199322371
12,0.5611592068634185,0.03085707808593479
13,0.43055058774816246,0.04921792365353735
14,0.3427829306956347,-0.044308415007180066
15,0.456200509490605,0.03411804204840644
16,0.9545873768051379,0.004156507378351653
17,0.8045115008697127,-0.012899789687817421
18,0.2079034295426852,-0.07059658179970212
19,0.36375268548292805,0.04694460206930663
20,0.44604602720284925,-0.04081084423744983
21,0.979686779539469,-0.0013753729671905162
22,0.8065055115284203,0.015131780562359504
23,0.8992429551664223,-0.006311171946177009
24,0.6495112349431877,0.021252636653916555
25,0.13917092437468553,0.07309468343797638
26,0.6799617765773205,0.020709745881294067
27,0.7209758376449249,-0.01966289198907712
28,0.27110013351028495,0.05923934356477252
29,0.9403197190209638,0.004198091802726633
30,0.3506522388561282,0.046779125040684946
31,0.7452741836471296,0.017430022276620185
32,0.9577485806897084,0.003093249584352996
33,0.11717288588221116,-0.08370249103339295
34,0.9940619620836594,-4.174948850981878e-4
35,0.5198417315426633,0.04071542157601613
36,0.8168307444275402,-0.011671068404172973
37,0.9925733337235028,-5.656157359910167e-4
38,0.7140754185995014,-0.01770185023633851
39,0.43946217397736675,0.05150974126082085
40,0.33523821930080633,0.05348512139975931
41,0.5945104533417882,0.028342573542082358
42,0.7525105382624098,0.015239205838993667
43,0.3331385616073077,0.04728784815300734
44,0.6278688175319507,0.027442915494560013
45,0.6844806141172103,0.02128342938384033
46,0.3082529787122675,0.03925608863368013
47,0.16678603082980603,0.08534942291204363
48,0.2952139176843856,0.05509804037450588
49,0.7878696867408732,0.01527527345003329
50,0.02479834013316163,0.13285952359991587
51,0.37714086214887876,0.048183190346535114
52,0.7669946325457803,-0.013732667311898336
53,0.8390189591219307,-0.01010139503111057
54,0.3508353454419997,-0.048832281518523146
55,0.9796259811861198,-0.001538115257555084
56,0.46809824707626757,0.05148170719082976
57,0.17525278880171805,0.0767837209410624
58,0.2165464864561222,0.06925616285771759
59,0.672750665276273,0.022751472313758268
60,0.20749312107332057,0.05656686317136786
61,0.8446520815496545,0.010645415889852341
62,0.44670295003900307,0.05702096005846441
63,0.48591630342569525,0.041996268867433025
64,0.7922979321516539,0.014850929534298259
65,0.6367492951452174,-0.026527256603407073
66,0.4250181069371456,0.04415909317196393
67,0.7851956460432254,-0.010563883630401024
68,0.7043210363297212,0.01676893826772454
69,0.23994528462070724,0.060095461361642274
70,0.06333776974347181,0.10903671179224345
71,0.33792770268479455,-0.043168281043149216
72,0.6114665204047068,0.029197000968948505
73,0.32515773737520537,0.0469305672929905
74,0.07133568069786263,0.06887390771208254
75,0.44233018580773276,0.03268175015356999
76,0.46867861337920014,-0.03975300227070438
77,0.2624531377247856,-0.061464629817973244
78,0.8329964987412628,0.010986618121148827
79,0.6835448271260731,0.02139633714682529
80,0.17619148954788347,0.07917325224132514
81,0.36537250835780855,-0.04316970492363081
82,0.7315323154463416,0.021942711659591697
83,0.2959832551134727,0.06956736963737292
84,0.7225623068666667,0.019415384678360997
85,0.3806962735725362,0.03651632450382207
86,0.10831750579156779,0.08659736594130256
87,0.4921391587389835,0.03227328653602196
88,0.744600018633172,-0.015989436905546987
89,0.5483965638335002,-0.03763320509679605
90,0.9326864473293814,-0.00491959799622615
91,0.1204769292916342,0.07395685411087896
92,0.9728567198199857,-0.0015649703205057146
93,0.8086605700249574,-0.012950818824205868
94,0.5912645702893622,0.02704400244225722
95,0.6164066074428769,0.021336230107764358
96,0.7974918086330566,0.0160266832322857
